CustomerID,Age,TenureMonths,MonthlyFee,TotalSpent,PlanType,Region,PaymentMethod,DeviceCount,StreamingHours,SupportTickets,AutoPay,FamilyPlan,Churn
SP-000042,61,69,16.38,1148.55,Standard,West,Credit Card,3,17.2,0,Yes,No,No
SP-000043,57,68,18.5,1314.58,Premium,East,Credit Card,3,26.5,0,Yes,No,Yes
SP-000044,38,27,12.98,396.38,Basic,East,Credit Card,3,34.8,1,Yes,No,No
SP-000045,21,57,16.25,916.08,Standard,South,Credit Card,5,33.0,1,Yes,No,No
SP-000046,73,28,10.18,289.61,Standard,South,Mobile Wallet,2,17.6,0,No,Yes,No
SP-000047,43,57,16.05,908.24,Premium,North,Debit Card,3,37.0,1,Yes,Yes,Yes
SP-000048,68,42,9.94,404.98,Basic,South,Credit Card,4,10.4,1,Yes,Yes,No
SP-000049,56,33,17.35,552.07,Premium,East,Debit Card,2,13.6,1,Yes,No,Yes
SP-000050,62,9,21.83,189.29,Standard,West,Credit Card,1,40.8,1,Yes,No,No
SP-000051,61,47,12.5,563.15,Standard,West,Debit Card,1,36.4,1,Yes,No,No
SP-000052,29,23,4.99,46.64,Basic,West,Debit Card,2,18.8,2,Yes,No,Yes
SP-000053,38,15,10.8,213.75,Standard,North,PayPal,2,13.4,0,Yes,No,No
SP-000054,44,13,17.92,263.94,Standard,West,Debit Card,1,14.8,0,No,No,No
SP-000055,46,70,15.2,1176.6,Basic,North,Mobile Wallet,2,33.7,1,Yes,No,No
SP-000056,20,7,13.99,120.1,Basic,East,Credit Card,4,29.6,1,Yes,No,Yes
SP-000057,49,57,17.02,945.12,Standard,West,PayPal,5,12.7,0,No,No,No
SP-000058,26,62,14.93,888.07,Standard,West,Credit Card,3,36.3,0,Yes,No,No
SP-000059,60,2,17.86,38.56,Basic,East,Credit Card,1,18.2,1,Yes,No,No
SP-000060,56,42,16.67,733.31,Basic,South,Mobile Wallet,4,10.7,0,No,No,No
SP-000061,70,41,19.08,767.6,Basic,East,PayPal,1,16.0,1,Yes,No,No
SP-000062,60,25,14.43,272.53,Premium,East,Credit Card,1,23.9,1,Yes,No,Yes
SP-000063,38,48,16.61,752.94,Premium,East,Debit Card,3,35.4,0,No,No,No
SP-000064,73,29,11.76,342.12,Basic,South,PayPal,3,33.9,0,Yes,Yes,No
SP-000065,41,31,10.58,372.4,Basic,South,Mobile Wallet,2,20.8,0,No,No,No
SP-000066,36,31,19.82,525.27,Basic,East,PayPal,5,25.9,1,Yes,No,No
SP-000067,69,57,13.85,805.36,Standard,North,Credit Card,1,19.5,0,Yes,Yes,No
SP-000068,39,45,16.21,742.72,Premium,West,Debit Card,1,12.7,0,Yes,No,No
SP-000069,22,27,13.48,336.87,Standard,North,Credit Card,3,21.4,1,Yes,Yes,No
SP-000070,44,66,10.64,667.02,Basic,West,Credit Card,3,4.4,0,Yes,No,No
SP-000071,63,57,13.03,698.53,Basic,North,Debit Card,5,55.5,0,Yes,Yes,Yes
SP-000072,28,67,18.73,1263.36,Basic,East,PayPal,1,25.5,0,Yes,Yes,Yes
SP-000073,44,52,15.21,858.53,Premium,South,Credit Card,3,30.4,1,Yes,No,No
SP-000074,25,28,6.14,243.79,Standard,East,PayPal,1,13.2,0,Yes,Yes,No
SP-000075,57,55,12.13,599.71,Standard,South,PayPal,1,25.3,1,Yes,No,No
SP-000076,45,23,20.12,451.54,Basic,West,PayPal,3,28.3,1,No,No,No
SP-000077,36,19,12.13,98.86,Premium,North,Credit Card,4,18.9,1,Yes,No,No
SP-000078,30,32,5.79,191.83,Basic,West,Credit Card,1,19.6,0,No,Yes,No
SP-000079,50,69,20.56,1454.5,Premium,East,Credit Card,5,7.7,0,Yes,Yes,Yes
SP-000080,56,40,15.72,723.06,Premium,West,Credit Card,3,67.1,0,Yes,Yes,No
SP-000081,71,27,12.71,235.98,Standard,North,Credit Card,3,13.0,1,No,No,No
SP-000082,42,33,11.5,314.22,Premium,North,Credit Card,5,14.4,0,No,No,No
SP-000083,27,20,17.32,355.05,Basic,South,Credit Card,2,57.8,1,Yes,No,No
SP-000084,65,47,10.82,411.44,Standard,South,Credit Card,2,31.3,1,Yes,Yes,No
SP-000085,53,25,17.58,449.83,Basic,West,Mobile Wallet,4,35.6,0,No,Yes,No
SP-000086,57,39,15.16,628.62,Standard,West,PayPal,1,7.3,2,Yes,Yes,No
SP-000087,23,26,13.97,286.34,Basic,South,Credit Card,5,25.1,0,Yes,Yes,No
SP-000088,35,23,13.57,320.07,Basic,West,Mobile Wallet,5,7.4,0,Yes,No,No
SP-000089,61,69,12.29,775.28,Basic,North,Credit Card,5,11.6,1,Yes,Yes,No
SP-000090,65,24,17.17,494.61,Basic,East,Debit Card,3,73.2,0,No,No,Yes
SP-000091,42,5,9.53,60.05,Standard,North,PayPal,4,9.9,0,Yes,Yes,Yes
SP-000092,63,27,6.5,137.1,Standard,East,Debit Card,5,34.5,1,Yes,No,No
SP-000093,65,38,15.45,512.81,Basic,South,Credit Card,1,10.7,2,Yes,No,No
SP-000094,40,6,15.51,116.41,Premium,South,Credit Card,2,11.8,0,Yes,Yes,No
SP-000095,69,22,14.91,409.5,Premium,South,Debit Card,3,101.5,0,No,No,No
SP-000096,34,11,14.62,114.53,Basic,South,PayPal,4,20.9,0,No,Yes,No
SP-000097,31,36,11.71,395.18,Basic,West,Debit Card,4,6.8,0,Yes,No,No
SP-000098,56,52,16.14,794.15,Standard,West,Debit Card,5,35.5,1,No,No,No
SP-000099,54,69,12.81,977.22,Standard,South,Credit Card,3,48.8,0,Yes,No,No
SP-000100,25,28,11.04,194.6,Basic,South,Debit Card,1,37.7,0,Yes,No,Yes
SP-000101,65,62,11.74,805.02,Standard,East,Credit Card,1,19.6,0,Yes,Yes,No
SP-000102,29,15,21.07,293.42,Basic,East,Mobile Wallet,5,20.1,0,Yes,No,No
SP-000103,63,56,6.05,334.5,Basic,North,PayPal,3,15.1,0,Yes,No,No
SP-000104,18,40,14.99,579.16,Standard,East,Debit Card,4,8.9,0,No,No,No
SP-000105,63,54,6.27,352.96,Standard,West,PayPal,3,27.9,0,Yes,No,No
SP-000106,62,54,12.56,634.45,Premium,West,Credit Card,5,18.9,1,Yes,Yes,No
SP-000107,62,38,11.26,491.38,Basic,East,Credit Card,2,7.4,1,No,No,Yes
SP-000108,55,18,4.99,155.76,Basic,South,Debit Card,1,21.3,0,No,No,No
SP-000109,44,37,14.55,479.35,Basic,South,Debit Card,4,13.1,0,Yes,Yes,No
SP-000110,58,59,11.47,716.78,Basic,East,PayPal,3,26.9,1,Yes,No,No
SP-000111,33,69,4.99,322.92,Basic,South,Bank Transfer,5,25.1,0,No,No,No
SP-000112,62,66,16.35,1082.2,Standard,North,Credit Card,1,17.0,2,Yes,No,No
SP-000113,49,13,18.73,335.0,Standard,East,Credit Card,2,22.0,1,Yes,Yes,No
SP-000114,44,43,18.95,774.41,Standard,North,PayPal,5,23.4,0,Yes,No,No
SP-000115,46,7,14.43,156.6,Basic,West,Credit Card,5,40.8,0,Yes,Yes,No
SP-000116,50,48,13.17,659.59,Basic,South,Credit Card,1,21.4,1,No,No,No
SP-000117,20,71,18.3,1287.66,Standard,South,Bank Transfer,5,15.3,1,No,No,No
SP-000118,25,3,19.72,81.2,Basic,North,PayPal,1,18.3,1,Yes,Yes,Yes
SP-000119,31,47,17.52,838.34,Premium,North,Bank Transfer,1,63.9,2,No,No,No
SP-000120,24,68,9.22,557.46,Basic,West,Credit Card,5,11.0,1,Yes,Yes,No
SP-000121,43,60,13.8,791.6,Standard,East,Credit Card,1,19.2,1,Yes,No,No
SP-000122,56,28,14.75,350.28,Premium,West,Debit Card,2,19.0,0,Yes,No,Yes
SP-000123,55,7,5.75,23.65,Standard,West,Mobile Wallet,1,19.6,0,Yes,Yes,Yes
SP-000124,44,66,14.87,1062.12,Standard,North,Credit Card,3,5.1,0,Yes,No,No
SP-000125,66,66,22.08,1492.14,Standard,South,Credit Card,1,8.7,0,No,No,Yes
SP-000126,50,41,15.55,551.59,Basic,West,Credit Card,2,18.2,0,Yes,Yes,No
SP-000127,22,70,18.88,1305.2,Standard,South,PayPal,2,14.8,0,Yes,No,No
SP-000128,61,0,13.72,14.02,Premium,East,PayPal,4,26.9,2,Yes,No,No
SP-000129,50,44,12.7,603.45,Premium,East,PayPal,3,44.6,1,Yes,No,Yes
SP-000130,54,2,14.52,0.0,Basic,East,Credit Card,1,28.3,0,Yes,No,Yes
SP-000131,50,67,9.73,577.66,Basic,West,PayPal,3,24.0,1,Yes,Yes,No
SP-000132,49,48,9.13,434.86,Standard,West,Debit Card,3,30.2,1,Yes,Yes,No
SP-000133,23,65,18.06,1208.04,Standard,East,Credit Card,2,25.5,0,No,Yes,No
SP-000134,49,40,18.48,753.29,Basic,East,Credit Card,3,21.9,0,No,Yes,No
SP-000135,63,5,9.03,0.0,Basic,South,Debit Card,2,39.8,1,Yes,No,No
SP-000136,35,1,16.86,122.14,Basic,North,Credit Card,2,17.9,0,Yes,No,No
SP-000137,52,24,12.64,297.43,Standard,East,Bank Transfer,4,8.6,0,Yes,No,No
SP-000138,19,53,14.35,772.17,Basic,North,Debit Card,2,14.4,1,Yes,No,No
SP-000139,37,10,14.83,108.58,Basic,East,Credit Card,2,13.0,1,No,No,Yes
SP-000140,42,61,16.97,1101.56,Basic,South,PayPal,1,74.9,0,Yes,No,No
SP-000141,74,17,13.32,260.75,Premium,West,PayPal,4,46.3,0,No,No,No
SP-000142,30,35,18.63,670.93,Basic,West,Credit Card,4,24.2,0,Yes,Yes,No
SP-000143,33,14,14.23,130.12,Basic,East,PayPal,4,13.2,1,No,Yes,No
SP-000144,41,33,15.49,576.81,Standard,East,Credit Card,1,39.5,0,No,No,No
SP-000145,74,32,9.66,354.53,Basic,South,Credit Card,3,23.5,0,No,No,No
SP-000146,66,0,21.62,60.9,Premium,South,PayPal,2,17.9,0,No,No,No
SP-000147,19,40,14.87,597.02,Premium,North,Debit Card,4,23.7,3,Yes,Yes,No
SP-000148,31,56,15.84,882.55,Basic,North,Credit Card,2,18.2,0,Yes,No,Yes
SP-000149,64,67,6.56,428.59,Basic,East,Credit Card,3,30.0,1,Yes,Yes,No
SP-000150,21,23,9.7,359.84,Basic,West,Debit Card,3,7.9,2,No,No,No
SP-000151,66,63,17.94,1097.67,Basic,North,Credit Card,4,29.8,1,No,No,No
SP-000152,34,63,14.14,819.65,Basic,South,Mobile Wallet,4,18.2,1,Yes,No,No
SP-000153,70,71,5.33,356.03,Basic,East,Debit Card,5,40.1,1,No,No,No
SP-000154,34,26,17.14,413.65,Basic,East,Mobile Wallet,3,47.0,2,Yes,No,No
SP-000155,42,61,10.81,735.0,Standard,East,Credit Card,5,53.5,0,Yes,No,No
SP-000156,55,40,18.64,664.24,Basic,East,PayPal,5,78.4,0,Yes,Yes,No
SP-000157,25,4,12.64,16.88,Basic,North,Credit Card,3,52.3,1,Yes,Yes,Yes
SP-000158,49,19,13.81,273.82,Standard,South,Credit Card,4,39.3,0,Yes,No,No
SP-000159,46,48,17.71,926.18,Basic,South,Credit Card,5,8.9,3,No,No,No
SP-000160,62,11,9.4,146.19,Basic,North,Credit Card,5,2.4,2,Yes,No,Yes
SP-000161,74,31,9.02,376.76,Basic,South,Mobile Wallet,2,42.8,1,Yes,Yes,No
SP-000162,55,55,12.2,691.75,Basic,South,PayPal,4,11.5,2,Yes,Yes,Yes
SP-000163,41,10,16.3,150.78,Basic,West,PayPal,3,112.7,0,Yes,No,No
SP-000164,41,35,7.67,319.78,Premium,South,Debit Card,1,6.1,0,No,No,No
SP-000165,41,15,6.32,12.77,Premium,West,Debit Card,2,38.2,0,No,No,Yes
SP-000166,64,38,16.28,516.05,Basic,East,PayPal,5,25.5,1,Yes,Yes,Yes
SP-000167,36,17,10.58,238.44,Basic,East,PayPal,5,6.8,0,No,Yes,No
SP-000168,27,69,11.42,800.61,Standard,West,Debit Card,4,25.3,0,No,No,Yes
SP-000169,37,5,5.56,85.64,Standard,West,PayPal,5,12.7,1,No,No,No
SP-000170,19,69,10.27,657.49,Basic,North,Credit Card,3,21.0,0,Yes,No,No
SP-000171,24,57,12.96,815.81,Basic,South,Bank Transfer,4,21.2,0,Yes,No,Yes
SP-000172,23,61,16.71,1059.53,Basic,East,Credit Card,1,12.8,1,No,No,Yes
SP-000173,61,61,9.91,602.64,Standard,West,Credit Card,2,17.1,1,Yes,Yes,No
SP-000174,59,13,19.62,267.5,Basic,North,Mobile Wallet,1,11.9,0,Yes,No,Yes
SP-000175,57,67,10.25,707.57,Basic,South,Credit Card,5,4.5,2,Yes,No,No
SP-000176,44,42,10.26,379.52,Basic,North,Credit Card,4,23.9,2,Yes,Yes,No
SP-000177,58,69,19.14,1297.56,Basic,North,Credit Card,5,52.2,0,Yes,No,No
SP-000178,27,63,13.84,891.79,Standard,West,Debit Card,3,12.4,0,No,Yes,No
SP-000179,69,41,10.78,416.47,Standard,North,Mobile Wallet,3,69.1,0,Yes,No,No
SP-000180,46,26,12.37,233.45,Standard,West,PayPal,4,78.2,2,Yes,No,No
SP-000181,71,8,18.4,164.89,Basic,West,Debit Card,3,16.0,0,No,No,No
SP-000182,26,7,18.85,182.11,Basic,West,Bank Transfer,2,18.9,0,Yes,No,No
SP-000183,46,28,9.72,336.27,Premium,North,PayPal,2,16.3,0,Yes,No,No
SP-000184,57,58,12.82,775.5,Standard,North,Mobile Wallet,3,9.0,1,No,No,No
SP-000185,46,36,13.35,529.7,Basic,South,Credit Card,1,19.0,1,No,No,No
SP-000186,43,34,9.05,366.95,Basic,East,Debit Card,1,17.5,2,No,Yes,No
SP-000187,27,17,12.77,221.87,Premium,West,Credit Card,1,23.6,1,Yes,No,No
SP-000188,39,40,13.01,393.26,Standard,South,Credit Card,1,24.5,1,Yes,Yes,No
SP-000189,31,45,17.55,859.34,Premium,North,PayPal,1,8.4,0,No,No,No
SP-000190,35,70,17.82,1193.8,Standard,West,Credit Card,1,33.3,0,No,No,No
SP-000191,56,52,11.67,538.99,Basic,West,Debit Card,1,18.8,1,Yes,No,No
SP-000192,53,43,12.13,455.39,Basic,East,PayPal,5,9.9,1,No,No,No
SP-000193,52,65,15.65,1166.32,Basic,East,Credit Card,1,18.5,1,Yes,No,No
SP-000194,38,30,10.65,345.93,Standard,West,Debit Card,3,25.2,0,Yes,No,No
SP-000195,72,67,15.34,965.28,Standard,South,PayPal,1,58.5,0,Yes,No,No
SP-000196,22,26,12.64,287.64,Basic,North,Mobile Wallet,5,52.6,1,Yes,No,No
SP-000197,37,9,9.11,81.95,Premium,East,Credit Card,2,15.0,0,No,Yes,Yes
SP-000198,24,30,9.16,307.34,Basic,South,Bank Transfer,4,19.8,0,Yes,No,Yes
SP-000199,37,9,18.78,185.78,Basic,West,PayPal,4,11.6,1,No,Yes,Yes
SP-000200,72,8,12.36,43.16,Basic,West,PayPal,4,28.0,0,Yes,Yes,No
SP-000201,38,63,19.55,1250.68,Premium,South,Credit Card,4,15.6,1,No,Yes,No
SP-000202,69,57,10.94,586.91,Premium,South,PayPal,3,19.3,0,Yes,No,No
SP-000203,46,15,14.15,275.06,Standard,South,PayPal,4,43.8,0,No,No,No
SP-000204,57,60,22.56,1356.98,Premium,East,Credit Card,5,8.4,1,Yes,No,No
SP-000205,44,4,8.76,0.0,Premium,East,Bank Transfer,2,52.7,1,No,No,No
SP-000206,33,20,5.4,149.34,Premium,East,Mobile Wallet,5,29.9,1,No,No,Yes
SP-000207,61,50,18.14,929.99,Premium,East,Debit Card,5,51.1,0,Yes,Yes,Yes
SP-000208,73,21,9.68,174.79,Basic,West,PayPal,4,36.8,0,No,No,No
SP-000209,33,52,12.91,715.13,Standard,South,Debit Card,5,41.2,0,Yes,No,Yes
SP-000210,62,62,10.65,698.05,Standard,North,PayPal,1,22.8,0,No,No,Yes
SP-000211,32,4,14.06,128.35,Standard,West,PayPal,3,9.7,2,Yes,No,Yes
SP-000212,58,1,9.19,51.8,Basic,West,Credit Card,4,14.2,0,No,No,No
SP-000213,62,67,12.27,809.25,Standard,East,Credit Card,5,12.1,1,No,No,No
SP-000214,43,37,14.79,445.8,Premium,South,Credit Card,1,3.5,1,No,No,No
SP-000215,60,36,8.96,333.76,Basic,South,Mobile Wallet,5,43.7,0,Yes,No,No
SP-000216,33,33,10.19,356.78,Premium,South,Credit Card,1,21.0,0,Yes,Yes,No
SP-000217,22,31,11.6,362.67,Basic,North,Mobile Wallet,2,11.4,1,No,Yes,No
SP-000218,23,49,7.27,175.58,Basic,East,Debit Card,4,76.3,2,Yes,No,No
SP-000219,43,41,11.3,504.03,Basic,South,Credit Card,2,97.4,0,No,No,No
SP-000220,69,11,13.47,93.45,Standard,South,Mobile Wallet,5,7.5,0,Yes,No,No
SP-000221,25,45,11.39,553.69,Standard,East,Debit Card,5,19.0,1,Yes,No,Yes
SP-000222,43,48,11.9,673.24,Basic,West,Credit Card,1,18.1,0,No,No,No
SP-000223,58,8,12.91,88.11,Standard,North,Credit Card,2,10.7,0,Yes,No,No
SP-000224,29,27,10.37,306.3,Basic,West,Credit Card,1,43.1,2,Yes,No,No
SP-000225,59,56,15.75,883.97,Basic,East,Credit Card,4,3.6,3,Yes,No,No
SP-000226,35,44,18.73,855.66,Premium,West,Credit Card,5,64.1,0,No,No,No
SP-000227,64,9,11.13,106.38,Standard,South,PayPal,4,23.5,1,Yes,No,No
SP-000228,51,2,14.93,0.0,Standard,West,Credit Card,1,72.3,0,No,No,No
SP-000229,49,41,12.03,438.93,Standard,East,Credit Card,1,22.1,1,Yes,Yes,No
SP-000230,28,33,14.45,572.28,Premium,East,Credit Card,1,18.1,0,Yes,Yes,No
SP-000231,44,69,19.25,1354.56,Basic,East,Debit Card,3,45.3,0,Yes,No,No
SP-000232,66,37,15.02,605.57,Basic,South,Bank Transfer,4,72.0,0,Yes,No,Yes
SP-000233,19,67,5.9,419.24,Basic,East,Credit Card,1,64.7,0,Yes,No,No
SP-000234,61,15,14.81,280.7,Standard,West,Credit Card,5,5.3,0,Yes,No,No
SP-000235,46,32,17.92,519.68,Standard,West,Debit Card,2,54.1,0,Yes,No,No
SP-000236,59,10,12.1,125.99,Standard,North,Mobile Wallet,3,17.4,1,No,No,Yes
SP-000237,55,41,16.97,726.1,Basic,East,PayPal,4,20.5,0,Yes,Yes,No
SP-000238,42,13,10.23,210.55,Basic,West,PayPal,3,17.1,1,Yes,Yes,Yes
SP-000239,35,35,7.05,407.13,Standard,East,Mobile Wallet,3,14.2,0,Yes,No,No
SP-000240,53,24,13.55,349.65,Premium,South,PayPal,2,19.1,0,Yes,No,No
SP-000241,25,13,5.96,37.81,Basic,South,Bank Transfer,3,10.3,1,No,Yes,Yes
SP-000242,51,6,12.03,0.44,Basic,East,Credit Card,2,54.4,0,No,Yes,Yes
SP-000243,23,36,18.14,598.75,Basic,East,PayPal,2,36.4,0,No,No,No
SP-000244,55,68,5.35,317.35,Basic,South,Mobile Wallet,4,26.7,1,Yes,No,No
SP-000245,53,14,7.87,0.0,Basic,South,Mobile Wallet,5,17.1,2,Yes,No,No
SP-000246,22,29,8.86,216.4,Basic,South,Debit Card,5,14.9,0,No,No,No
SP-000247,61,16,12.74,246.84,Standard,North,PayPal,2,30.8,0,No,Yes,No
SP-000248,41,58,11.53,673.26,Basic,North,Credit Card,2,27.3,0,Yes,No,Yes
SP-000249,62,29,18.59,523.59,Basic,North,PayPal,1,47.4,0,Yes,Yes,No
SP-000250,20,70,16.81,1079.38,Basic,South,Credit Card,2,15.1,0,No,Yes,No
SP-000251,28,17,14.97,317.51,Premium,East,Debit Card,3,14.0,1,No,No,Yes
SP-000252,46,5,13.57,98.56,Basic,South,PayPal,2,35.4,0,Yes,No,No
SP-000253,28,41,14.56,596.18,Basic,West,Credit Card,4,40.5,0,Yes,No,No
SP-000254,36,46,9.54,306.69,Basic,North,Credit Card,1,92.8,0,No,No,No
SP-000255,55,71,16.42,1136.37,Standard,South,Credit Card,3,5.0,0,No,No,No
SP-000256,26,62,8.54,555.5,Premium,North,PayPal,2,56.3,0,Yes,Yes,No
SP-000257,56,63,16.33,1027.08,Basic,South,PayPal,3,25.1,0,Yes,No,No
SP-000258,23,45,17.73,809.37,Basic,East,PayPal,1,15.8,0,Yes,No,No
SP-000259,27,25,13.83,386.88,Basic,South,Credit Card,3,31.0,1,No,Yes,No
SP-000260,51,30,12.29,377.98,Standard,South,PayPal,4,30.3,0,No,No,No
SP-000261,63,9,14.59,170.29,Premium,East,PayPal,5,16.1,0,Yes,Yes,No
SP-000262,27,31,4.99,104.08,Basic,West,Credit Card,2,5.4,0,Yes,Yes,No
SP-000263,35,26,14.2,295.83,Basic,North,Credit Card,3,56.4,0,No,No,Yes
SP-000264,70,2,12.54,53.72,Standard,North,Debit Card,4,13.1,1,Yes,Yes,Yes
SP-000265,74,14,12.79,220.0,Standard,North,Credit Card,3,11.5,0,Yes,No,No
SP-000266,51,38,15.82,632.3,Basic,East,Credit Card,3,14.1,1,Yes,No,Yes
SP-000267,43,26,12.69,337.84,Basic,West,Credit Card,2,39.2,0,Yes,No,No
SP-000268,37,71,8.43,579.09,Basic,North,Credit Card,5,17.6,1,No,No,Yes
SP-000269,52,34,12.42,434.94,Standard,North,Credit Card,4,14.3,1,Yes,No,No
SP-000270,51,69,13.26,937.7,Standard,East,Credit Card,5,29.7,1,No,No,No
SP-000271,34,47,13.45,658.51,Standard,West,PayPal,4,26.8,2,No,No,Yes
SP-000272,19,2,13.64,183.71,Premium,East,Debit Card,2,14.5,2,Yes,No,No
SP-000273,26,14,17.15,184.85,Basic,West,Debit Card,2,5.3,0,No,No,Yes
SP-000274,72,50,8.65,626.06,Basic,East,PayPal,1,38.6,0,Yes,No,No
SP-000275,41,39,13.69,458.5,Basic,North,Debit Card,4,27.2,0,No,Yes,No
SP-000276,45,21,18.15,404.29,Premium,South,Credit Card,4,3.8,0,Yes,No,No
SP-000277,44,37,6.05,152.16,Standard,West,Credit Card,2,61.7,1,No,Yes,No
SP-000278,62,65,13.71,909.52,Basic,East,Credit Card,1,3.6,1,Yes,Yes,No
SP-000279,21,27,10.65,346.48,Basic,North,Debit Card,5,12.2,1,Yes,No,No
SP-000280,22,3,11.51,36.48,Standard,North,Debit Card,2,12.9,2,Yes,No,No
SP-000281,33,22,9.37,264.52,Standard,East,Credit Card,3,14.7,0,Yes,Yes,No
SP-000282,45,67,12.31,799.35,Standard,South,Debit Card,1,14.3,2,Yes,No,No
SP-000283,56,54,20.36,976.45,Basic,East,Bank Transfer,1,8.1,1,Yes,No,No
SP-000284,45,60,7.93,513.4,Premium,South,Credit Card,5,25.4,3,Yes,Yes,No
SP-000285,43,65,8.31,541.99,Standard,South,Debit Card,4,42.9,0,Yes,No,No
SP-000286,71,8,7.78,33.46,Standard,East,Debit Card,1,25.2,0,No,No,Yes
SP-000287,27,20,19.9,373.37,Standard,North,PayPal,1,28.2,0,Yes,No,No
SP-000288,50,4,11.14,68.95,Premium,South,PayPal,3,17.9,2,Yes,Yes,No
SP-000289,48,0,12.89,0.0,Premium,South,PayPal,4,24.5,0,No,No,Yes
SP-000290,44,60,11.38,705.31,Standard,West,Credit Card,3,29.7,0,No,No,No
SP-000291,64,67,9.21,688.39,Basic,East,Debit Card,5,36.4,1,Yes,Yes,No
SP-000292,33,11,12.05,256.15,Basic,South,PayPal,4,13.4,0,Yes,No,No
SP-000293,72,51,22.82,1248.09,Premium,South,Credit Card,4,12.1,0,Yes,No,No
SP-000294,36,38,18.56,714.98,Standard,North,Bank Transfer,2,2.5,0,Yes,Yes,Yes
SP-000295,49,4,9.58,53.78,Basic,North,Credit Card,4,73.3,0,No,No,No
SP-000296,47,65,15.58,988.69,Basic,South,Debit Card,5,70.3,2,Yes,No,No
